
|       Type       |             Description            |      TimeStamp     | Time (hours) | Cum Time (hours) | 
| ---------------- | -----------------------------------| ------------------ | ------------ | ---------------- |
|                  |                                    |                    |              |                  |
|   Repository     | change content to english          | 21:00 18.Dec.2020  | 1.0          |                  |
|   Repository     | Rearrange folders and files        | 08:00 19.Dec.2020  | 0.5          |                  |
|   Repository     | Add funcs from other projects      | 08:30 19.Dec.2020  | 1.5          |                  |
|   Feedback       | Document layout and results        | 13:00 Jan.15.2021  | 1.0          |                  |
|   Document       | LaTeX format modifications         | 17:00 15.Jan.2021  | 3.0          |                  |
|   Coding         | T-Fold process                     | 21:00 15.Jan.2021  | 1.0          |                  |
|   Document       | LaTeX format modifications         | 07:00 22.Jan.2021  | 1.0          |                  |
|   Resources      | email for cluster usage            | 08:00 15.Jan.2021  | 0.5          |                  |
|   Coding         | Code review and organization       | 08:30 15.Jan.2021  | 2.0          |                  |
|   Meeting        | With thesis director               | 01:00 15.Jan.2021  | 1.0          |                  |
|   Meeting        | With thesis director               | 12:00 29.Jan.2021  | 0.5          |                  |
|   Presentation   | Slides format preparation          | 15:00 30.Jan.2021  | 1.0          |                  |
|   Organization   | General content organization       | 16:00 30.Jan.2021  | 1.0          |                  |
|   Content        | Models Optimization Heuristics     | 09:30 31.Jan.2021  | 2.0          |                  |
|   Content        | Models Optimization NeuralNet      | 13:00 31.Jan.2021  | 1.0          |                  |
|   Coding         | Optimization Process               | 15:00 31.Jan.2021  | 4.5          |                  |
|   Coding         | AUC mode cases and code comments   | 18:00 01.Feb.2021  | 4.0          |                  |
|   Organization   | General content and planning       | 10:00 02.Feb.2021  | 2.0          |                  |
|   Organization   | t-fold process layout              | 08:00 05.Feb.2021  | 2.0          |                  |
|   Coding         | Feature Metrics function           | 11:00 05.Feb.2021  | 1.0          |                  |
|   Meeting        | With thesis director               | 12:00 05.Feb.2021  | 1.0          |                  |
|   Coding         | Optimization Function Improvemnt   | 14:00 05.Feb.2021  | 2.0          |                  |
|   Coding         | General code review and tests      | 18:00 05.Feb.2021  | 1.0          |                  |
|   Coding         | Data profile progress              | 20:00 05.Feb.2021  | 2.0          |                  |
|   Coding         | Data profile and parallelization   | 14:00 06.Feb.2021  | 4.0          |                  |
|   Coding         | Parallelization improvements       | 20:00 06.Feb.2021  | 2.0          |                  |
|   Coding         | Parallelization and logging        | 08:00 07.Feb.2021  | 4.5          |                  |
|   Coding         | Parallelization and logging        | 10:00 08.Feb.2021  | 1.5          |                  |
|   Coding         | Data Profile                       | 08:00 09.Feb.2021  | 4.0          |                  |

|   Coding         | Feature related code review        | 9:00 10.Feb.2021   | 1.0          |                  |
